timestamp;req_failed;request_per_sec;cpu_percent;memory_percent
1652273602;0.0;2.0;0.026561530833333333;0.6785125732421875
1652273617;0.0;2.93;0.028922719999999996;0.7077484130859375
1652273632;0.0;3.13;0.029771177777777772;0.7178192138671875
1652273647;0.0;4.67;0.03631320222222222;0.7258758544921875
1652273662;0.0;5.07;0.05114383555555555;0.7309112548828125
1652273677;0.0;4.87;0.05590301777777777;0.78680419921875
1652273692;0.0;5.93;0.05461007777777777;0.8243255615234375
1652273707;0.0;8.8;0.06342688222222222;0.83087158203125
1652273722;0.0;7.2;0.07333717777777779;0.8354034423828125
1652273737;0.0;8.13;0.07000522666666668;0.8394317626953125
1652273752;0.0;9.6;0.07945466222222221;0.8434600830078125
1652273767;0.0;9.2;0.07658677555555554;0.89324951171875
1652273782;0.6;11.13;0.0863604488888889;0.85699462890625
1652273797;2.06;12.93;0.09403623333333336;0.9008026123046875
1652273812;1.67;15.93;0.10339330888888891;0.8766326904296875
1652273827;1.72;19.33;0.1253626155555555;0.8786468505859375
1652273842;0.76;17.6;0.1424824422222222;0.880157470703125
1652273857;0.0;16.67;0.14337833555555554;0.882171630859375
1652273872;0.44;15.27;0.12577463111111112;0.8836822509765625
1652273887;0.0;17.0;0.12146469111111115;0.8846893310546875
1652273902;0.0;17.87;0.11854810444444439;0.8856964111328125
1652273917;0.0;16.4;0.12831669555555555;0.8870697021484375
1652273932;0.36;18.47;0.1384124044444444;0.8880767822265625
1652273947;0.0;19.07;0.13161404888888886;0.9122467041015625
1652273962;0.0;20.0;0.13250589111111108;0.912750244140625
1652273977;0.0;21.27;0.13779022666666668;0.9142608642578125
1652273992;0.29;23.2;0.15738699333333334;0.9162750244140625
1652274007;1.29;25.93;0.16344425555555556;0.8971405029296875
1652274022;2.25;32.53;0.18577090666666665;0.89764404296875
1652274037;1.85;32.4;0.20679224888888886;0.899658203125
1652274052;1.32;35.4;0.23559875333333338;0.900665283203125
1652274067;1.23;32.53;0.21083193555555557;0.900665283203125
1652274082;1.54;34.6;0.22460050888888883;0.9011688232421875
1652274097;1.33;35.0;0.21628402888888887;0.9021759033203125
1652274112;1.07;37.33;0.22881363333333332;0.9036865234375
1652274127;1.68;39.6;0.2548399533333335;0.903961181640625
1652274142;1.3;40.87;0.2862430844444443;0.9046783447265625
1652274157;1.79;40.87;0.31481074888888905;0.911224365234375
