timestamp,req_failed,request_per_sec,lock_count,cpu_percent,memory_percent,health
2022-05-24 18:37:02,26.09,4.6,1.0,0.19701774666666677,0.918994140625,0.7391
2022-05-24 18:37:17,83.83,1.67,1.0,0.1790202755555555,0.928125,0.1617
2022-05-24 18:37:32,60.61,1.87,1.0,0.20416965555555558,0.9173828125,0.39390000000000003
2022-05-24 18:37:47,23.96,4.73,1.0,0.18811048444444445,0.95712890625,0.7604
2022-05-24 18:38:02,77.1,1.47,1.0,0.1728565066666666,0.923828125,0.22900000000000006
2022-05-24 18:38:17,35.95,8.53,5.0,0.14679368222222233,0.917919921875,0.6405
2022-05-24 18:38:32,61.66,1.73,5.0,0.15484415333333332,0.941552734375,0.3834
2022-05-24 18:38:47,40.19,6.47,1.0,0.16962271111111135,0.909326171875,0.5981000000000001
2022-05-24 18:39:02,36.21,3.13,1.0,0.1485221533333332,0.940478515625,0.6379
2022-05-24 18:39:17,36.21,0.0,1.0,0.13567814222222221,0.93779296875,0.6379
2022-05-24 18:39:32,33.76,5.53,1.0,0.14073787777777763,0.876025390625,0.6624000000000001
2022-05-24 18:39:47,33.76,0.0,1.0,0.13613997555555576,0.88408203125,0.6624000000000001
2022-05-24 18:40:02,57.14,7.0,5.0,0.12075890000000002,0.9453125,0.4286
2022-05-24 18:40:17,45.78,2.33,1.0,0.11609518222222226,0.90556640625,0.5422
2022-05-24 18:40:32,57.69,5.2,1.0,0.10809441999999983,0.909326171875,0.42310000000000003
2022-05-24 18:40:47,0.0,0.8,1.0,0.14279305333333303,0.963037109375,1.0
2022-05-24 18:41:02,27.85,4.07,1.0,0.14745403111111113,0.86474609375,0.7215
2022-05-24 18:41:17,51.67,4.0,1.0,0.2063728355555554,0.950146484375,0.4833
2022-05-24 18:41:32,31.58,3.8,13.0,0.1586478577777778,0.8958984375,0.6842
2022-05-24 18:41:47,31.58,0.0,13.0,0.1407183844444442,0.939404296875,0.6842
2022-05-24 18:42:02,99.62,0.87,13.0,0.11020457111111107,0.918994140625,0.0037999999999999545
2022-05-24 18:42:17,37.12,4.67,1.0,0.11858095111111153,0.95927734375,0.6288
2022-05-24 18:42:32,86.67,1.0,1.0,0.14605885333333377,0.93564453125,0.13329999999999997
2022-05-24 18:42:47,86.67,0.0,1.0,0.16900108222222215,0.95390625,0.13329999999999997
2022-05-24 18:43:02,86.67,0.0,1.0,0.15956606444444407,0.916845703125,0.13329999999999997
2022-05-24 18:43:17,77.78,0.6,1.0,0.12140900444444405,0.943701171875,0.22219999999999998
2022-05-24 18:43:32,77.78,0.0,1.0,0.06038255555555578,0.9087890625,0.22219999999999998
2022-05-24 18:43:47,56.66,3.53,1.0,0.07935102000000015,0.92919921875,0.4334
2022-05-24 18:44:02,33.33,1.2,1.0,0.07227381555555577,0.958740234375,0.6667000000000001
2022-05-24 18:44:17,86.67,1.0,1.0,0.13102673777777782,0.78740234375,0.13329999999999997
2022-05-24 18:44:32,54.79,0.73,1.0,0.17108466666666622,0.892138671875,0.4521
2022-05-24 18:44:47,48.64,2.33,1.0,0.20734763333333348,0.915771484375,0.5136
2022-05-24 18:45:02,48.64,2.33,1.0,0.13696724000000005,0.894287109375,0.5136
2022-05-24 18:45:17,48.64,2.33,1.0,0.06313504000000054,0.935107421875,0.5136
2022-05-24 18:45:32,48.64,2.33,1.0,0.0,0.8529296875,0.5136
2022-05-24 18:45:47,48.64,2.33,1.0,0.0,0.793310546875,0.5136
2022-05-24 18:46:02,48.64,2.33,1.0,0.0,0.8615234375,0.5136
2022-05-24 18:46:17,48.64,2.33,1.0,0.0,0.94853515625,0.5136
2022-05-24 18:46:32,48.64,2.33,1.0,0.0,0.939404296875,0.5136
2022-05-24 18:46:47,48.64,2.33,1.0,0.0,0.90234375,0.5136
2022-05-24 18:47:02,48.64,2.33,1.0,0.0,0.841650390625,0.5136
2022-05-24 18:47:17,48.64,2.33,1.0,0.0,0.841650390625,0.5136
2022-05-24 18:47:32,48.64,2.33,1.0,0.0,0.80888671875,0.5136
2022-05-24 18:47:47,48.64,2.33,1.0,0.0,0.95712890625,0.5136
2022-05-24 18:48:02,48.64,2.33,1.0,0.0,0.9337727864583333,0.5136
2022-05-24 18:48:17,48.64,2.33,1.0,0.0,0.9341959635416667,0.5136
2022-05-24 18:48:32,48.64,2.33,1.0,0.0,0.7708984375,0.5136
2022-05-24 18:48:47,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:49:02,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:49:17,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:49:32,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:49:47,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:50:02,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:50:17,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:50:32,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:50:47,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:51:02,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:51:17,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:51:32,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:51:47,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:52:02,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:52:17,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:52:32,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:52:47,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:53:02,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
2022-05-24 18:53:17,48.64,2.33,1.0,0.0,0.8667154947916667,0.5136
