timestamp;req_failed;request_per_sec;cpu_percent;memory_percent;lock_count;system_health
1652266207;0.0;0.0;0.0002856776388888;0.6812286376953125;1;1.0
1652266222;0.0;0.8;0.0227668555555555;0.7402801513671875;1;1.0
1652266237;0.0;12.07;0.0655871511111111;0.7835845947265625;1;1.0
1652266252;0.0;15.27;0.1168335772222222;0.8811492919921875;1;1.0
1652266267;0.0;20.93;0.1727807621851851;0.863525390625;2;1.0
1652266282;0.0;30.07;0.1927229533333333;0.88165283203125;1;1.0
1652266297;0.0;18.73;0.1818475177777777;0.8831634521484375;1;1.0
1652266312;0.1;2.0;0.1219061999999999;0.8836669921875;1;0.9
1652266327;0.1667;0.8;0.0555197822222222;0.8917236328125;1;0.8332999999999999
1652266342;0.1704;29.73;0.0809766844444444;0.8917236328125;1;0.8296000000000001
1652266357;0.2053;4.87;0.0771147555555555;0.8922271728515625;1;0.7947
1652266372;0.1848;4.33;0.0853726222222221;0.892730712890625;1;0.8151999999999999
1652266387;0.1704;3.13;0.0297981266666666;0.8952484130859375;1;0.8296000000000001
1652266402;0.4443999999999999;4.2;0.0307867444444444;0.895751953125;1;0.5556
1652266417;0.4592;8.13;0.03027014;0.895751953125;1;0.5408
1652266432;0.5;1.2;0.0259715311111111;0.8962554931640625;1;0.5
1652266447;0.414;4.67;0.0194684555555555;0.8997802734375;3;0.586
1652266462;0.3333;26.2;0.0620403644444444;0.9012908935546876;1;0.6667000000000001
1652266477;0.45;16.0;0.0818008955555555;0.90179443359375;1;0.55
1652266492;0.3922;4.93;0.0898163977777777;0.902801513671875;1;0.6078
1652266507;0.3021999999999999;3.53;0.0430605622222222;0.90380859375;1;0.6978
1652266522;0.434;16.13;0.0479488333333332;0.9463348388671876;1;0.5660000000000001
1652266537;0.3354;54.27;0.1346026755555555;0.9493560791015624;1;0.6646000000000001
1652266552;0.3939;30.8;0.1658655155555555;0.9493560791015624;1;0.6061
1652266567;0.4375;3.2;0.1524583088888889;0.9493560791015624;1;0.5625
1652266582;0.6667000000000001;1.2;0.0591245933333333;0.949859619140625;1;0.3333
1652266597;0.3927;7.13;0.0239696777777777;0.9501190185546876;1;0.6073
1652266612;0.5003;4.93;0.0259934511111111;0.9050140380859376;2;0.4997
1652266627;0.348;47.13;0.1300627711111111;0.88812255859375;1;0.652
