timestamp;req_failed;request_per_sec;cpu_percent;memory_percent
1652266207;0.0;0.0;0.00028567763888888746;0.6812286376953125
1652266222;0.0;0.8;0.022766855555555566;0.7402801513671875
1652266237;0.0;12.07;0.06558715111111112;0.7835845947265625
1652266252;0.0;15.27;0.11683357722222222;0.8811492919921875
1652266267;0.0;20.93;0.17278076218518518;0.863525390625
1652266282;0.0;30.07;0.19272295333333334;0.88165283203125
1652266297;0.0;18.73;0.18184751777777777;0.8831634521484375
1652266312;10.0;2.0;0.12190619999999999;0.8836669921875
1652266327;16.67;0.8;0.0555197822222222;0.8917236328125
1652266342;17.04;29.73;0.08097668444444445;0.8917236328125
1652266357;20.53;4.87;0.07711475555555557;0.8922271728515625
1652266372;18.48;4.33;0.08537262222222218;0.892730712890625
1652266387;17.04;3.13;0.029798126666666664;0.8952484130859375
1652266402;44.44;4.2;0.030786744444444458;0.895751953125
1652266417;45.92;8.13;0.03027014000000001;0.895751953125
1652266432;50.0;1.2;0.02597153111111111;0.8962554931640625
1652266447;41.4;4.67;0.019468455555555562;0.8997802734375
1652266462;33.33;26.2;0.06204036444444448;0.9012908935546875
1652266477;45.0;16.0;0.08180089555555554;0.90179443359375
1652266492;39.22;4.93;0.08981639777777779;0.902801513671875
1652266507;30.22;3.53;0.04306056222222222;0.90380859375
1652266522;43.4;16.13;0.04794883333333328;0.9463348388671875
1652266537;33.54;54.27;0.13460267555555552;0.9493560791015625
1652266552;39.39;30.8;0.16586551555555556;0.9493560791015625
1652266567;43.75;3.2;0.1524583088888889;0.9493560791015625
1652266582;66.67;1.2;0.059124593333333385;0.949859619140625
1652266597;39.27;7.13;0.023969677777777795;0.9501190185546875
1652266612;50.03;4.93;0.025993451111111118;0.9050140380859375
1652266627;34.8;47.13;0.1300627711111111;0.88812255859375
1652266642;32.45;62.87;0.23325226000000002;0.8961029052734375
1652266657;34.96;5.53;0.24375062444444448;0.8985137939453125
1652266672;32.84;8.73;0.14550876444444436;0.906036376953125
1652266687;33.24;46.33;0.11660849111111117;0.9473419189453125
1652266702;31.64;55.0;0.1897387177777778;0.9328460693359375
1652266717;36.44;23.6;0.22219706888888893;0.91424560546875
1652266732;29.9;24.53;0.18597772444444444;0.9147491455078125
1652266747;41.23;7.6;0.10560305111111114;0.9149627685546875
1652266762;38.81;7.73;0.07370325333333325;0.91546630859375
1652266777;40.87;10.93;0.045951213333333386;0.91546630859375
1652266792;36.92;3.07;0.036927664444444494;0.91546630859375
1652266807;43.11;15.93;0.0486196666666667;0.91546630859375
1652266822;54.1;7.27;0.04966859999999999;0.91546630859375
1652266837;42.45;2.67;0.05077001333333331;0.91546630859375
1652266852;45.71;7.0;0.03047426222222214;0.9169769287109375
1652266867;35.13;34.73;0.08501210666666656;0.9189910888671875
1652266882;37.87;70.07;0.1966427711111112;0.91949462890625
1652266897;46.46;9.47;0.19695915333333336;0.9300079345703125
1652266912;31.53;38.27;0.22386738222222216;0.895263671875
1652266927;34.44;124.47;0.31654902444444427;0.8917388916015625
1652266942;38.84;86.33;0.5068523733333332;0.936553955078125
1652266957;37.66;159.13;0.7115421555555554;
1652266972;49.26;166.6;0.5608159349722225;
1652266987;49.26;0.0;0.44538765022222215;
1652267002;99.88;2.87;;
1652267017;100.0;9.0;;
1652267032;100.01;23.13;;
1652267047;100.0;60.6;;
